group,itunes_artist_name,itunes_artist_id,latest_release_song,latest_release_date,latest_release_source,nearest_comeback_date,nearest_comeback_song,nearest_comeback_source,artist_source,matched_song_count
&TEAM,&TEAM,1654437478,Lunatic,2025-10-28,https://music.apple.com/us/album/lunatic/1845801736?i=1845801745&uo=4,,,,https://music.apple.com/us/artist/team/1654437478?uo=4,82
(G)I-DLE,i-dle,1378887586,Invincible,2025-10-03,https://music.apple.com/us/album/invincible/1840821658?i=1840821660&uo=4,,,,https://music.apple.com/us/artist/i-dle/1378887586?uo=4,123
aespa,aespa,1540251304,Keychain (FROM THE FILM K-POPS!),2026-02-27,https://music.apple.com/us/album/keychain-from-the-film-k-pops/1878278834?i=1878278841&uo=4,,,,https://music.apple.com/us/artist/aespa/1540251304?uo=4,194
ATEEZ,ATEEZ,1439301205,Adrenaline,2026-02-06,https://music.apple.com/us/album/adrenaline/1867153027?i=1867153030&uo=4,,,,https://music.apple.com/us/artist/ateez/1439301205?uo=4,188
AtHeart,AtHeart,1811647421,Shut Up,2026-02-26,https://music.apple.com/us/album/shut-up/1877609703?i=1877609705&uo=4,,,,https://music.apple.com/us/artist/atheart/1811647421?uo=4,16
BABYMONSTER,BABYMONSTER,1715981813,WE GO UP,2025-10-10,https://music.apple.com/us/album/we-go-up/1843247940?i=1843247941&uo=4,,,,https://music.apple.com/us/artist/babymonster/1715981813?uo=4,41
BLACKPINK,BLACKPINK,1141774019,Me and my,2026-02-22,https://music.apple.com/us/album/me-and-my/1870046940?i=1870046943&uo=4,,,,https://music.apple.com/us/artist/blackpink/1141774019?uo=4,173
BOYNEXTDOOR,BOYNEXTDOOR,1687612559,SAY CHEESE!,2025-11-10,https://music.apple.com/us/album/say-cheese/1849113580?i=1849113581&uo=4,,,,https://music.apple.com/us/artist/boynextdoor/1687612559?uo=4,75
CRAVITY,CRAVITY,1507226584,Blast Out,2026-02-18,https://music.apple.com/us/album/blast-out/1873845707?i=1873845708&uo=4,,,,https://music.apple.com/us/artist/cravity/1507226584?uo=4,127
DAY6,DAY6,1037939997,Lovin' the Christmas,2025-12-15,https://music.apple.com/us/album/lovin-the-christmas/1858121071?i=1858121072&uo=4,,,,https://music.apple.com/us/artist/day6/1037939997?uo=4,172
ENHYPEN,ENHYPEN,1541011620,Knife,2026-01-16,https://music.apple.com/us/album/knife/1862720020?i=1862720450&uo=4,,,,https://music.apple.com/us/artist/enhypen/1541011620?uo=4,193
EVNNE,EVNNE,1707333798,How Can I Do,2025-08-04,https://music.apple.com/us/album/how-can-i-do/1829947664?i=1829947668&uo=4,,,,https://music.apple.com/us/artist/evnne/1707333798?uo=4,38
EXO,EXO,657630070,Crown,2026-01-19,https://music.apple.com/us/album/crown/1868596000?i=1868596001&uo=4,,,,https://music.apple.com/us/artist/exo/657630070?uo=4,199
FIFTY FIFTY,FIFTY FIFTY,1654860606,Still In Time,2026-01-27,https://music.apple.com/us/album/still-in-time/1871105863?i=1871105868&uo=4,,,,https://music.apple.com/us/artist/fifty-fifty/1654860606?uo=4,78
fromis_9,fromis_9,1319150216,White Memories,2025-12-02,https://music.apple.com/us/album/white-memories/1856551390?i=1856551391&uo=4,,,,https://music.apple.com/us/artist/fromis-9/1319150216?uo=4,72
Hearts2Hearts,Hearts2Hearts,1793698498,RUDE!,2026-02-20,https://music.apple.com/us/album/rude/1875146814?i=1875146815&uo=4,,,,https://music.apple.com/us/artist/hearts2hearts/1793698498?uo=4,20
ifeye,ifeye,1804019101,r u ok?,2025-07-16,https://music.apple.com/us/album/r-u-ok/1825815110?i=1825815115&uo=4,,,,https://music.apple.com/us/artist/ifeye/1804019101?uo=4,11
ITZY,ITZY,1451964345,TUNNEL VISION (Inst.),2025-11-14,https://music.apple.com/us/album/tunnel-vision-inst/1849558295?i=1849558305&uo=4,,,,https://music.apple.com/us/artist/itzy/1451964345?uo=4,163
IVE,IVE,1594159996,BLACKHOLE,2026-02-23,https://music.apple.com/us/album/blackhole/1873882195?i=1873882200&uo=4,,,,https://music.apple.com/us/artist/ive/1594159996?uo=4,111
KARD,KARD,1215832588,Touch,2025-07-02,https://music.apple.com/us/album/touch/1820834880?i=1820834882&uo=4,,,,https://music.apple.com/us/artist/kard/1215832588?uo=4,77
Kep1er,Kep1er,1594156263,I Stay,2026-02-25,https://music.apple.com/us/album/i-stay/1877805221?i=1877805222&uo=4,,,,https://music.apple.com/us/artist/kep1er/1594156263?uo=4,92
KickFlip,KickFlip,1780698712,"Hyper Slide (Sung by KYEHOON, DONGHWA, MINJE, KEIJU)",2026-01-20,https://music.apple.com/us/album/hyper-slide-sung-by-kyehoon-donghwa-minje-keiju/1867426650?i=1867426651&uo=4,,,,https://music.apple.com/us/artist/kickflip/1780698712?uo=4,26
KiiiKiii,KiiiKiii,1795471746,404 (New Era),2026-01-26,https://music.apple.com/us/album/404-new-era/1866860579?i=1866860733&uo=4,,,,https://music.apple.com/us/artist/kiiikiii/1795471746?uo=4,20
KISS OF LIFE,KISS OF LIFE,1694672936,Lucky,2025-11-05,https://music.apple.com/us/album/lucky/1847812497?i=1847812498&uo=4,,,,https://music.apple.com/us/artist/kiss-of-life/1694672936?uo=4,47
LE SSERAFIM,LE SSERAFIM,1616740364,SPAGHETTI,2025-10-24,https://music.apple.com/us/album/spaghetti/1846109788?i=1846109791&uo=4,,,,https://music.apple.com/us/artist/le-sserafim/1616740364?uo=4,194
MEOVV,MEOVV,1765256889,BURNING UP,2025-10-14,https://music.apple.com/us/album/burning-up/1843953409?i=1843953410&uo=4,,,,https://music.apple.com/us/artist/meovv/1765256889?uo=4,17
MONSTA X,MONSTA X,992315362,growing pains,2026-02-06,https://music.apple.com/us/album/growing-pains/1867623617?i=1867623621&uo=4,,,,https://music.apple.com/us/artist/monsta-x/992315362?uo=4,187
RESCENE,RESCENE,1732658659,Busy Boy,2026-02-27,https://music.apple.com/us/album/busy-boy/1879473478?i=1879473479&uo=4,,,,https://music.apple.com/us/artist/rescene/1732658659?uo=4,36
SAY MY NAME,SAY MY NAME,1773342948,UFO (ATTENT!ON),2025-12-29,https://music.apple.com/us/album/ufo-attent-on/1861370118?i=1861370268&uo=4,,,,https://music.apple.com/us/artist/say-my-name/1773342948?uo=4,18
